Date,Medicine name,Form of medicine,Medicine Description,Medicine Class,Qty,Whole sale pharmacy,Exp date,MRP,buying disc (%),final buying price,Pharma Company,Profit margin
19/08/2024,Drotin DS tab,tablet,Relieves abdominal pain and cramps.,NSAIDs / Analgesics,1,Zaman Medicine Agency,03/26,246.79,22.40,191.51,Walter Bushnell,0.2239961101
19/08/2024,Drotin 15 tab,tablet,Used for muscle spasms and pain relief.,NSAIDs / Analgesics,1,Zaman Medicine Agency,02/26,139.96,22.40,108.61,Walter Bushnell,0.2239925693
19/08/2024,Socril,capsule,Multivitamin supplement for overall health.,Nutritional supplement,1,Zaman Medicine Agency,05/25,234,21.60,183.46,Sun Pharmaceutical Industries Ltd,0.215982906
19/08/2024,Gemer D5 2 tab,tablet,Controls blood sugar in diabetes.,Antidiabetic Medications,1,Zaman Medicine Agency,03/26,213,21.60,167,Sun Pharmaceutical Industries Ltd,0.2159624413
19/08/2024,Zentel Syp 10ml,syrup,Deworming medicine for intestinal worms.,Anthelmintics,4,Zaman Medicine Agency,01/27,20.05,22.39,15.56,Glaxo SmithKline Pharmaceuticals Ltd,0.2239401496
19/08/2024,Ceposem 100 syp,syrup,Antibiotic for bacterial infections in children.,Antibiotics,4,Zaman Medicine Agency,08/25,199,30.16,138.99,Sun Pharmaceutical Industries Ltd,0.3015577889
19/08/2024,Gas O Fast jeera,granule powder,Antacid for quick relief from acidity.,Antacid,10,Zaman Medicine Agency,01/26,10,35.40,6.46,Mankind Pharma Ltd,0.354
19/08/2024,Glyciphase 500,tablet,Used to manage blood sugar in diabetes.,Antidiabetic Medications,1,Zaman Medicine Agency,12/26,41.65,22.40,32.32,Franco-Indian Pharmaceuticals Pvt Ltd,0.2240096038
19/08/2024,Betnovate GM,cream,Cream for skin allergies and infections.,Antibiotics,2,Zaman Medicine Agency,08/25,41.15,21.60,32.26,Glaxo SmithKline Pharmaceuticals Ltd,0.2160388821
19/08/2024,Citralma Syp,syrup,Used for urinary tract issues.,Antibiotics,1,Zaman Medicine Agency,06/25,115,22.40,89.24,Pfizer Ltd,0.224
19/08/2024,Ambrodil S Syp,syrup,Cough syrup for mucus relief.,Cough Syrup,2,Zaman Medicine Agency,09/26,36.15,30.12,25.26,Aristo Pharmaceuticals Pvt Ltd,0.3012448133
19/08/2024,Pyrigesic 1000 tab,tablet,Painkiller and fever reducer.,NSAIDs / Analgesics,1,Zaman Medicine Agency,11/26,37,30.08,25.87,East India Pharmaceutical Works Ltd,0.3008108108
19/08/2024,Dakson Oral,syrup,Nutritional supplement for overall health.,Nutritional supplement,1,Zaman Medicine Agency,11/25,31.5,22.41,24.44,Emcee Pharmaceuticals Pvt Ltd,0.2241269841
19/08/2024,Sucralfate O syp,syrup,Protects stomach lining and treats ulcers.,Anti-ulcer Agents,1,Zaman Medicine Agency,09/25,230,73.04,62,Strassenburg Pharmaceuticals.Ltd,0.7304347826
19/08/2024,Zuvendine Solution IP,antiseptic solution,Antiseptic for wound cleaning.,Antiseptics,2,Zaman Medicine Agency,09/25,44.23,38.96,27,Zuventus Healthcare Ltd,0.3895546009
19/08/2024,Scaboma plus lotion,lotion,Treats scabies and skin infections.,Antibiotics,2,Zaman Medicine Agency,12/25,60.35,53.60,28,Glenmark Pharmaceuticals Ltd,0.536039768
02/08/2024,Mefkind DF syp,syrup,Pain and fever relief.,NSAIDs / Analgesics,2,Zaman Medicine Agency,11/25,50.57,35.34,32.7,Mankind Pharma Ltd,0.3533715642
02/08/2024,Calpol 500 mg,tablet,Fever and pain reliever.,NSAIDs / Analgesics,4,Zaman Medicine Agency,02/26,14.95,26.22,11.03,Glaxo SmithKline Pharmaceuticals Ltd,0.2622073579
02/08/2024,Cetil 500 mg,tablet,Antibiotic for infections.,Antibiotics,1,Zaman Medicine Agency,02/26,576,22.40,446.99,Lupin Ltd,0.2239756944
02/08/2024,Glencoff D,syrup,Cough and cold syrup.,Cough Syrup,3,Zaman Medicine Agency,03/25,118,64.41,42,Glenmark Pharmaceuticals Ltd,0.6440677966
02/08/2024,Ambrodil S Syp,syrup,Mucus-relieving cough syrup.,Cough Syrup,2,Zaman Medicine Agency,08/26,36.15,30.12,25.26,Aristo Pharmaceuticals Pvt Ltd,0.3012448133
02/08/2024,Ascoril D junior,syrup,Dry cough relief syrup.,Cough Syrup,1,Zaman Medicine Agency,07/25,107,27.57,77.5,Glenmark Pharmaceuticals Ltd,0.2757009346
02/08/2024,Flumont-LC,syrup,Allergy and cold medicine.,Cold & Allergy Medicine,2,Zaman Medicine Agency,11/25,140,82.14,25,Aristo Pharmaceuticals Pvt Ltd,0.8214285714
02/08/2024,Cepodem 100,syrup,Antibiotic for infections.,Antibiotics,1,Zaman Medicine Agency,08/25,199,30.16,138.99,Sun Pharmaceutical Industries Ltd,0.3015577889
02/08/2024,Mega CV forte,syrup,Antibiotic for bacterial infections.,Antibiotics,1,Zaman Medicine Agency,06/25,153,35.33,98.95,Aristo Pharmaceuticals Pvt Ltd,0.3532679739
02/08/2024,Galirex,syrup,Nutritional supplement.,Nutritional supplement,2,Zaman Medicine Agency,05/25,100,67.99,32.01,Leeford Healthcare Ltd,0.6799
02/08/2024,Omnacortil,syrup,Steroid for inflammation.,Steroids,3,Zaman Medicine Agency,09/26,32.92,22.39,25.55,Macleods Pharmaceuticals Pvt Ltd,0.2238760632
02/08/2024,Mega CV,drop,Antibiotic for infections.,Antibiotics,1,Zaman Medicine Agency,07/25,82,35.33,53.03,Aristo Pharmaceuticals Pvt Ltd,0.3532926829
02/08/2024,Nor Metrogyl-O-Syp,syrup,Treats bacterial and parasitic infections.,Antibiotics,3,Zaman Medicine Agency,02/25,52.86,33.79,35,J B Chemicals and Pharmaceuticals Ltd,0.3378736285
02/08/2024,XL-90 syp,syrup,Used for cough relief.,Cough Syrup,1,Zaman Medicine Agency,11/25,115,29.45,81.13,DWD Pharmaceuticals Ltd,0.2945217391
02/08/2024,Chericof,syrup,Cough relief syrup.,Cough Syrup,1,Zaman Medicine Agency,01/26,118,28.86,83.95,Sun Pharmaceutical Industries Ltd,0.288559322
02/08/2024,Calciway,syrup,Calcium supplement.,Nutritional supplement,1,Zaman Medicine Agency,06/25,130,65.54,44.8,Garwychem Healthcare,0.6553846154
02/08/2024,R Loc,tablet,Reduces stomach acidity.,Antacid,2,Zaman Medicine Agency,08/26,45,35.33,29.1,Zydus Cadila,0.3533333333
25/07/2024,Pan D,capsule,Reduces acidity and reflux.,Antacid,1,Zaman Medicine Agency,03/26,231,22.40,179.25,Alkem Laboratories Ltd,0.224025974
25/07/2024,Cafragin,tablet,used to prevent and treat migraine.,Antimigraine Agents,5,Zaman Medicine Agency,02/26,50,42.80,28.6,Agrosaf Pharmaceuticals,0.428
25/07/2024,Cepodem 50 mg,syrup,Antibiotic for infections.,Antibiotics,2,Zaman Medicine Agency,06/25,96,30.17,67.04,Sun Pharmaceutical Industries Ltd,0.3016666667
25/07/2024,Colimex DF,drop,Relieves stomach cramps.,Antispasmodic,1,Zaman Medicine Agency,11/25,74.5,21.58,58.42,Wallace Pharmaceuticals Pvt Ltd,0.2158389262
25/07/2024,Cepodem 100,syrup,Antibiotic for infections.,Antibiotics,1,Zaman Medicine Agency,08/25,199,30.16,138.99,Sun Pharmaceutical Industries Ltd,0.3015577889
25/07/2024,Mupivate oint,cream,Treats skin infections.,Antibiotics,5,Zaman Medicine Agency,10/25,113.62,72.72,31,Alkem Laboratories Ltd,0.7271607111
25/07/2024,Zerotuss D syp,syrup,Cough relief syrup.,Cough Syrup,1,Zaman Medicine Agency,12/24,89,22.40,69.06,Aristo Pharmaceuticals Pvt Ltd,0.2240449438
25/07/2024,Zocef Dry syp,syrup,Antibiotic for bacterial infections.,Antibiotics,1,Zaman Medicine Agency,06/25,173.78,22.40,134.85,Alkem Laboratories Ltd,0.2240188744
25/07/2024,Dart 10 tab,tablet,Pain and fever relief.,NSAIDs / Analgesics,1,Zaman Medicine Agency,10/26,59.25,35.31,38.33,Juggat Pharma,0.3530801688
25/07/2024,Linzomek-600,tablet,Antibiotic for severe infections.,Antibiotics,1,Zaman Medicine Agency,07/25,356.27,73.33,95,Macleods Pharmaceuticals Pvt Ltd,0.7333483033
25/07/2024,Cetritreat LM,tablet,Allergy and cold relief.,Cold & Allergy Medicine,10,Zaman Medicine Agency,12/25,110,84.73,16.8,Smartways Wellness,0.8472727273
26/07/2024,Hemoway syp,syrup,Blood booster supplement.,Nutritional supplement,1,Zaman Medicine Agency,09/25,160,54.50,72.8,Smartways Wellness,0.545
26/07/2024,Apwell syp,syrup,Nutritional health supplement.,Nutritional supplement,3,Zaman Medicine Agency,03/26,131,76.34,31,Ajanta Pharma Ltd,0.7633587786
26/07/2024,Pan MPS syp,syrup,Relieves acidity and gas.,Antacid,1,Zaman Medicine Agency,03/27,114,30.15,79.63,Alkem Laboratories Ltd,0.3014912281
26/07/2024,Pantodac IV,injection,Injection for acidity relief.,Antacid,5,Zaman Medicine Agency,12/25,56.5,60.58,22.27,Zydus Cadila,0.605840708
26/07/2024,Genoplex L,syrup,Multivitamin supplement for overall health.,Nutritional supplement,1,Zaman Medicine Agency,09/24,96.75,30.17,67.56,Geno Pharmaceuticals Ltd,0.3017054264
26/07/2024,Zentel Syp 10ml,syrup,used to treat intestine worm,Anthelmintics,2,Zaman Medicine Agency,02/27,20.05,22.39,15.56,Glaxo SmithKline Pharmaceuticals Ltd,0.2239401496
26/07/2024,Bevon syp,syrup,Vitamin and mineral supplement.,Nutritional supplement,1,Zaman Medicine Agency,09/25,201.4,35.33,130.24,Zuventus Healthcare Ltd,0.353326713
26/07/2024,Cypon Syp,syrup,Appetite stimulant.,Appetite Stimulant,1,Zaman Medicine Agency,04/27,136,30.15,95,Geno Pharmaceuticals Ltd,0.3014705882
26/07/2024,Surfaz SN,cream,Antifungal skin cream.,Antifungals,1,Zaman Medicine Agency,04/25,96,29.95,67.25,Franco-Indian Pharmaceuticals Pvt Ltd,0.2994791667
26/07/2024,Betnovate GM,cream,Skin infection cream.,Antibiotics,2,Zaman Medicine Agency,08/25,41.15,21.60,32.26,Glaxo SmithKline Pharmaceuticals Ltd,0.2160388821
26/07/2024,Betnovate C,cream,Anti-inflammatory skin cream.,Steroids,2,Zaman Medicine Agency,01/26,64.45,21.60,50.53,Glaxo SmithKline Pharmaceuticals Ltd,0.2159813809
26/07/2024,Rantac Infant syp,syrup,Reduces stomach acidity.,Antacid,2,Zaman Medicine Agency,10/25,48.5,22.39,37.64,J B Chemicals and Pharmaceuticals Ltd,0.2239175258
26/07/2024,Ondem syp,syrup,Treats nausea and vomiting.,Antiemetics,2,Zaman Medicine Agency,04/26,42.19,30.13,29.48,Alkem Laboratories Ltd,0.3012562219
26/07/2024,Sumo-L drop,syrup,Pain and fever relief.,NSAIDs / Analgesics,2,Zaman Medicine Agency,04/26,33,28.64,23.55,Alkem Laboratories Ltd,0.2863636364
26/07/2024,Maxtra drop,syrup,Cold and congestion relief.,Cold & Allergy Medicine,2,Zaman Medicine Agency,02/26,100,34.94,65.06,Zuventus Healthcare Ltd,0.3494
26/07/2024,Nasoclear drop,drop,Nasal saline drops.,Cold & Allergy Medicine,2,Zaman Medicine Agency,01/27,64.35,28.61,45.94,Zydus Cadila,0.2860916861
26/07/2024,Topifort-NX,lotion,Skin treatment ointment.,Antibiotics,1,Zaman Medicine Agency,08/25,80,21.74,62.61,Franco-Indian Pharmaceuticals Pvt Ltd,0.217375
26/07/2024,Colimex,syrup,Relieves stomach cramps.,Antispasmodic,2,Zaman Medicine Agency,01/27,61,22.36,47.36,Wallace Pharmaceuticals Pvt Ltd,0.2236065574
26/07/2024,Ambrodil S Syp,syrup,Mucus relief cough syrup.,Cough Syrup,2,Zaman Medicine Agency,08/26,36.15,30.12,25.26,Aristo Pharmaceuticals Pvt Ltd,0.3012448133
26/07/2024,Multiflow syp,syrup,Multivitamin supplement.,Nutritional supplement,2,Zaman Medicine Agency,07/25,130,65.51,44.84,Smart Laboratories Pvt Ltd,0.6550769231
16/07/2024,Delpocure 50 syp,syrup,"treatment of a wide range of bacterial infections targeting the ears, eyes, nose, throat in children",Antibiotics,1,Zaman Medicine Agency,02/25,87.5,34.67,57.16,Delcure Life Sciences,0.3467428571
16/07/2024,Cepodem 100 syp,syrup,"treatment of a wide range of bacterial infections targeting the ears, eyes, nose, throat, lungs,urinary tract in children",Antibiotics,1,Zaman Medicine Agency,12/24,189,30.15,132.01,Sun Pharmaceutical Industries Ltd,0.3015343915
16/07/2024,Moxclav BD syp ,syrup,antibiotic to treat bacterial infections,Antibiotics,2,Zaman Medicine Agency,04/25,67.53,22.40,52.4,Sun Pharmaceutical Industries Ltd,0.224048571
16/07/2024,Moxclav 156.25 syp,syrup,antibiotic to treat bacterial infections,Antibiotics,1,Zaman Medicine Agency,05/25,68.88,22.42,53.44,Sun Pharmaceutical Industries Ltd,0.2241579559
16/07/2024,Moxclav Drop 10 ml,drop,antibiotic to treat bacterial infections,Antibiotics,1,Zaman Medicine Agency,06/25,101,22.40,78.38,Sun Pharmaceutical Industries Ltd,0.223960396
16/07/2024,Mega CV forte,syrup,antibiotic to treat bacterial infections,Antibiotics,2,Zaman Medicine Agency,07/25,153,35.33,98.95,Aristo Pharmaceuticals Pvt Ltd,0.3532679739
16/07/2024,Zocef Dry syp,syrup,treat bacterial infection of respiratory systems and urinary tract infections,Antibiotics,1,Zaman Medicine Agency,06/25,173.78,22.40,134.85,Alkem Laboratories Ltd,0.2240188744
16/07/2024,Potrate MB6,syrup,treat and prevent kidney stone,Kidney Health,1,Zaman Medicine Agency,08/25,244,22.40,189.34,Intas Pharmaceuticals Ltd,0.2240163934
16/07/2024,Cepodem 50 mg,syrup,treatment of a wide range of bacterial infection in children,Antibiotics,2,Zaman Medicine Agency,06/25,96,30.17,67.04,Sun Pharmaceutical Industries Ltd,0.3016666667
16/07/2024,Cystone 60,tablet,maintains kidney health,Kidney Health,1,Zaman Medicine Agency,03/27,200,25.31,149.38,Himalaya Wellness Company,0.2531
16/07/2024,Famocid 40 mg,tablet,Reduces stomach acid production.,Antacid,6,Zaman Medicine Agency,01/27,10.5,22.38,8.15,Sun Pharmaceutical Industries Ltd,0.2238095238
16/07/2024,Volini spray 40 gm,spray,Topical pain relief spray.,NSAIDs / Analgesics,1,Zaman Medicine Agency,03/26,187,22.41,145.1,Sun Pharmaceutical Industries Ltd,0.2240641711
16/07/2024,Pyrigesic syp 60 ml,syrup,Fever and pain reliever.,NSAIDs / Analgesics,1,Zaman Medicine Agency,05/26,36.29,30.15,25.35,East India Pharmaceutical Works Ltd,0.3014604574
16/07/2024,Omnacortil drops 10 ml,syrup,Steroid for inflammation control.,Steroids,2,Zaman Medicine Agency,09/26,44.25,21.58,34.7,Macleods Pharmaceuticals Pvt Ltd,0.215819209
16/07/2024,Niftas 100 tab,tablet,Treats urinary tract infections.,Antibiotics,1,Zaman Medicine Agency,02/27,127.01,22.34,98.63,Intas Pharmaceuticals Ltd,0.2234469727
16/07/2024,Esam 2.5 10 tab,tablet,Manages high blood pressure.,Antihypertensives,1,Zaman Medicine Agency,10/25,82.55,21.60,64.72,Torrent Pharmaceuticals Ltd,0.2159903089
16/07/2024,Flumont-LC,syrup,Relieves allergy symptoms.,Cold & Allergy Medicine,2,Zaman Medicine Agency,11/25,140,82.14,25,Aristo Pharmaceuticals Pvt Ltd,0.8214285714
16/07/2024,Betnovate GM 20 gm,cream,Treats skin infections and inflammation.,Antibiotics,2,Zaman Medicine Agency,08/25,41.15,21.60,32.26,Glaxo SmithKline Pharmaceuticals Ltd,0.2160388821
16/07/2024,Cataspa tab,tablet,Relieves muscle spasms and pain.,NSAIDs / Analgesics,5,Zaman Medicine Agency,04/26,43.2,21.60,33.87,USV Ltd,0.2159722222
16/07/2024,Relikast-LC tab,tablet,Manages asthma and allergies.,Cold & Allergy Medicine,3,Zaman Medicine Agency,12/25,130,78.46,28,Leeford Healthcare Ltd,0.7846153846
16/07/2024,Clofresh dusting powder,powder,Antifungal body powder.,Antifungals,3,Zaman Medicine Agency,03/27,110,57.57,46.67,Smart Laboratories Pvt Ltd,0.5757272727
16/07/2024,Drep ear drop,drop,Treats ear infections.,Ear Care,1,Zaman Medicine Agency,07/25,96,29.43,67.75,DWD Pharmaceuticals Ltd,0.2942708333
16/07/2024,Drep wax,drop,Earwax softening drops.,Ear Care,2,Zaman Medicine Agency,01/26,112,22.40,86.91,DWD Pharmaceuticals Ltd,0.2240178571
16/07/2024,Drotin 15 tab,tablet,Alleviates abdominal cramps.,NSAIDs / Analgesics,1,Zaman Medicine Agency,05/26,139.96,22.40,108.61,Walter Bushnell,0.2239925693
19/07/2024,Zerodol P,tablet,Pain reliever and anti-inflammatory.,NSAIDs / Analgesics,2,B.S Medical Hall,02/26,73,22.40,56.65,Ipca Laboratories Ltd,0.2239726027
19/07/2024,Socril,tablet,Multivitamin supplement.,Nutritional supplement,1,B.S Medical Hall,03/25,234,22.40,181.59,Sun Pharmaceutical Industries Ltd,0.223974359
19/07/2024,Calpol 650,tablet,Fever and pain reducer.,NSAIDs / Analgesics,6,B.S Medical Hall,02/26,33.6,35.33,21.73,Glaxo SmithKline Pharmaceuticals Ltd,0.3532738095
19/07/2024,Taxim OF,tablet,Antibiotic for bacterial infections.,Antibiotics,2,B.S Medical Hall,01/26,175,22.38,135.83,Alkem Laboratories Ltd,0.2238285714
19/07/2024,Cefiwok O,tablet,Antibiotic for bacterial infections.,Antibiotics,2,B.S Medical Hall,12/25,175,60.00,70,Dr Reddy's Laboratories Ltd,0.6
19/07/2024,Neurobion forte,tablet,treats numbness and tingling sensations in palm and feet.,Neuropathy Agents,2,B.S Medical Hall,08/25,41.91,18.54,34.14,Procter & Gamble Health Ltd,0.1853972799
19/07/2024,Criz-M,tablet,Antihistamine for allergy relief.,Cold & Allergy Medicine,2,B.S Medical Hall,02/26,173,30.14,120.86,Alkem Laboratories Ltd,0.3013872832
19/07/2024,ATM 500mg,tablet,Antibiotic for bacterial infections.,Antibiotics,2,B.S Medical Hall,01/26,131.94,35.28,85.39,Indoco Remedies Ltd,0.3528118842
19/07/2024,Zerodol SP,tablet,Pain reliever and anti-inflammatory.,NSAIDs / Analgesics,2,B.S Medical Hall,06/26,130.1,22.40,100.96,Ipca Laboratories Ltd,0.2239815527
19/07/2024,Mega CV forte,syrup,Antibiotic for bacterial infections.,Antibiotics,1,B.S Medical Hall,07/25,153,35.33,98.95,Aristo Pharmaceuticals Pvt Ltd,0.3532679739
19/07/2024,Genoplex L,syrup,Multivitamin and mineral supplement.,Nutritional supplement,1,B.S Medical Hall,03/25,96.75,30.17,67.56,Geno Pharmaceuticals Ltd,0.3017054264
19/07/2024,Doxt-SL,capsule,Antibiotic for bacterial infections.,Antibiotics,1,B.S Medical Hall,01/26,133,30.15,92.9,Dr Reddy's Laboratories Ltd,0.3015037594
19/07/2024,Clenora gel,gel,Pain relieving gel for gums and mouth.,NSAIDs / Analgesics,1,B.S Medical Hall,01/26,108,22.40,83.81,DWD Pharmaceuticals Ltd,0.2239814815
19/07/2024,Rantac,tablet,Reduces stomach acid production.,Antacid,3,B.S Medical Hall,09/25,49,29.80,34.4,J B Chemicals and Pharmaceuticals Ltd,0.2979591837
19/07/2024,Pan D,capsule,Treats acid reflux and heartburn.,Antacid,1,B.S Medical Hall,02/26,231,22.40,179.25,Alkem Laboratories Ltd,0.224025974
19/07/2024,Eltroxin 25 mcg,tablet,Thyroid hormone replacement.,Thyroid Hormone Replacement,1,B.S Medical Hall,04/25,193.54,22.39,150.2,Glaxo SmithKline Pharmaceuticals Ltd,0.2239330371
19/07/2024,Omizac-D,capsule,Treats acid reflux and heartburn.,Antacid,4,B.S Medical Hall,03/26,125,80.80,24,Torrent Pharmaceuticals Ltd,0.808
19/07/2024,Etodash TH,tablet,Pain reliever and muscle relaxant.,NSAIDs / Analgesics,2,B.S Medical Hall,09/24,150,62.67,56,Olamic Healthcare,0.6266666667
19/07/2024,Cefuway 250,tablet,Antibiotic for bacterial infections.,Antibiotics,2,B.S Medical Hall,12/25,175,52.00,84,Smartways Wellness,0.52
19/07/2024,Cefuway 500,tablet,Antibiotic for bacterial infections.,Antibiotics,1,B.S Medical Hall,01/26,330,49.66,166.13,Smartways Wellness,0.4965757576
19/07/2024,Zentel 400 mg,tablet,Antiparasitic for worm infections,Anthelmintics,10,B.S Medical Hall,02/27,9.09,22.33,7.06,Glaxo SmithKline Pharmaceuticals Ltd,0.2233223322
19/07/2024,Nor Metrogyl TZ,tablet,Antibiotic and antiprotozoal combination.,Antibiotics,2,B.S Medical Hall,11/32,106.37,69.91,32.01,J B Chemicals and Pharmaceuticals Ltd,0.6990692865
19/07/2024,Amlokind At 10,tablet,Manages high blood pressure.,Antihypertensives,1,B.S Medical Hall,01/26,53.95,28.84,38.39,Mankind Pharma Ltd,0.2884151993
19/07/2024,Ambrodil S Syp,syrup,Mucus-relieving cough syrup.,Cough Syrup,2,B.S Medical Hall,08/26,36.15,30.12,25.26,Aristo Pharmaceuticals Pvt Ltd,0.3012448133
19/07/2024,HH Linctus syp,syrup,Cough suppressant syrup.,Cough Syrup,1,B.S Medical Hall,09/25,109,22.40,84.58,Hegde and Hegde Pharmaceutical LLP,0.2240366972
19/07/2024,Asthakind DX,syrup,Cough suppressant and decongestant.,Cold & Allergy Medicine,1,B.S Medical Hall,12/25,102.5,35.34,66.28,Mankind Pharma Ltd,0.3533658537
19/07/2024,Chericof,syrup,Cough suppressant syrup.,Cough Syrup,1,B.S Medical Hall,01/26,118,22.39,91.58,Sun Pharmaceutical Industries Ltd,0.2238983051
19/07/2024,V-wash plus,liquid,Intimate hygiene wash.,Antiseptics,1,B.S Medical Hall,05/25,180,19.16,145.51,Hindustan Unilever Ltd,0.1916111111
10/07/2024,Cefiwok O,tablet,Treat various types of bacterial infections.,Antibiotics,4,Zaman Medicine Agency,12/25,175,57.71,74,Dr Reddy's Laboratories Ltd,0.5771428571
10/07/2024,Omee Alkem,capsule,Reduces acidity and reflux.,Antacid,3,Zaman Medicine Agency,10/25,64.29,61.11,25,Alkem Laboratories Ltd,0.6111370353
10/07/2024,Omepraz D,capsule,Reduces acidity and reflux.,Antacid,3,Zaman Medicine Agency,10/25,200,85.00,30,Alkem Laboratories Ltd,0.85
10/07/2024,Rantac,tablet,Reduces amount of acid in stomach.,Antacid,2,Zaman Medicine Agency,09/25,49,29.80,34.4,J B Chemicals and Pharmaceuticals Ltd,0.2979591837
10/07/2024,Ciplox eye drop,drop,Treats bacterial eye/ear infections.,Ear Care,2,Zaman Medicine Agency,01/27,17.13,21.95,13.37,Cipla Ltd,0.2194979568
10/07/2024,Clenora gel,gel,Pain relieving gel for gums and mouth.,NSAIDs / Analgesics,1,Zaman Medicine Agency,01/26,108,21.59,84.68,DWD Pharmaceuticals Ltd,0.2159259259
10/07/2024,Drep ear drop,drop,Treat infections in the ear caused by bacteria and fungus.,Ear Care,1,Zaman Medicine Agency,11/25,96,29.43,67.75,DWD Pharmaceuticals Ltd,0.2942708333
10/07/2024,Meftal spas,tablet,provide symptomatic relief from menstrual pain and cramps.,NSAIDs / Analgesics,2,Zaman Medicine Agency,02/27,50,30.14,34.93,Blue Cross Laboratories Ltd,0.3014
10/07/2024,Linzomek-600,tablet,Used in the treatment of severe bacterial infections.,Antibiotics,1,Zaman Medicine Agency,07/25,356.27,73.33,95,Macleods Pharmaceuticals Pvt Ltd,0.7333483033
04/07/2024,Zentel 400 mg,tablet,Deworming medicine for intestinal worms.,Anthelmintics,10,M/S Jeevan Deep,06/26,9.09,22.33,7.06,Glaxo SmithKline Pharmaceuticals Ltd,0.2233223322
04/07/2024,Nock 2 mg,tablet,Helps in relieving the pain and inflammation.,NSAIDs / Analgesics,2,M/S Jeevan Deep,11/26,71.25,35.31,46.09,Wanbury Ltd,0.353122807
04/07/2024,ATM 500 mg,tablet,treats various types of bacterial infection.,Antibiotics,2,M/S Jeevan Deep,01/26,131.94,35.28,85.39,Indoco Remedies Ltd,0.3528118842
04/07/2024,Criz-M,tablet,"treats allergic symptoms like runny nose, sneezing.",Cold & Allergy Medicine,2,M/S Jeevan Deep,07/25,173,30.16,120.83,Alkem Laboratories Ltd,0.3015606936
